micro_ciclo;Driver;Speed_mean;Speed_max;Acel_pos_mean;Acel_pos_max;Acel_neg_mean;Acel_neg_max;Duration;Distance;time_ralenti;time_mov;Pend160_pos_max;Pend160_neg_mean;Pend160_neg_max;time_Pend160_pos;time_Pend160_neg;Pend200_pos_mean;Pend200_pos_max;Pend200_neg_mean;Pend200_neg_max;time_Pend200_pos;time_Pend200_neg;Social_stratum;Driver_age;PC1;PC2;PC3;PC4;Cluster
927;25;18.91878984;47.95015385;1.508397436;2.515099068;-0.468139552;-2.116262626;37;199.6983372;43.24324324;59.45945946;0.013694641;-0.014140438;-0.014140438;27.02702703;75.67567568;0.007081165;0.009809173;0;0;102.7027027;0;3;23;2.757399398;0.733694319;3.858532852;1.854435643;2
928;25;17.41031279;36.01552448;0.677526312;1.74736791;-0.726513209;-1.568218726;84;411.0768298;10.71428571;90.47619048;0.033293914;-0.014140438;-0.014140438;90.47619048;10.71428571;0.019828583;0.039527831;0;0;101.1904762;0;3;23;2.266258897;1.184509746;1.678850332;1.080680611;2
929;25;31.71670916;76.37815385;0.568591187;1.91289627;-0.353442946;-1.928383838;192;1700.368019;24.47916667;76.04166667;0.048142444;-0.03052826;-0.048355973;27.08333333;73.4375;0.041260376;0.042451501;-0.023070792;-0.034458201;28.125;72.39583333;3;23;2.937727447;-0.606645121;0.468518629;-0.328127572;2
930;25;25.47630396;44.19138462;0.462002072;1.668599456;-0.435814268;-1.421954157;104;743.0588656;2.884615385;98.07692308;0.017287402;-0.025006751;-0.048355973;53.84615385;47.11538462;0.009517197;0.014447133;-0.025175594;-0.025452198;71.15384615;29.80769231;3;23;2.023728023;0.275851288;0.620894979;0.110135847;2
931;25;3.17518145;10.4045035;0.428449051;0.812272727;-0.250497928;-0.762713675;18;16.7579021;55.55555556;50;0.017287402;0;0;105.5555556;0;0.014265131;0.014265131;0;0;105.5555556;0;3;23;-1.874693405;1.526496082;0.582355404;0.102928845;3
932;25;25.82466493;54.74979021;0.347157216;1.038094406;-0.373342633;-2.038879176;165;1190.803994;16.96969697;83.63636364;0.036978837;0;0;100.6060606;0;0.031149926;0.039256824;-0.00115884;-0.00115884;72.72727273;27.87878788;3;23;1.908339412;0.724855323;0.094017087;-0.428921202;2
933;25;32.06439788;48.1471049;0.436039954;1.716148019;-0.496901865;-1.092055167;106;953.0251593;5.660377358;95.28301887;0.056497464;-0.011400094;-0.032184958;41.50943396;59.43396226;0.023829759;0.055774774;-0.030293087;-0.030293087;82.0754717;18.86792453;3;23;2.214494846;0.731118889;0.266386517;0.300613983;3
934;25;0.813518118;2.413678322;0.264779202;0.393397436;-0.100621115;-0.372768065;10;2.485749806;70;40;0;-0.001398907;-0.001398907;0;110;0.001396535;0.001396535;0;0;110;0;3;23;-3.294036429;1.624802538;-0.026609416;-0.481658331;3
935;25;1.81612022;7.996867133;0.389066952;0.698754856;-0.056525006;-0.765944056;46;23.71045843;71.73913043;30.43478261;0;-0.011743434;-0.013257268;0;102.173913;0.001396535;0.001396535;0;0;102.173913;0;3;23;-2.759405864;1.440352932;0.326744917;-0.428453943;3
936;25;2.403567988;3.723020979;0.218534965;0.407060995;-0.29029526;-0.54465035;8;6.008919969;25;87.5;0;-0.013257268;-0.013257268;0;112.5;0.001396535;0.001396535;0;0;112.5;0;3;23;-1.758848665;1.584050549;-0.021832765;-0.149411986;3
937;25;0.798564103;3.995160839;0.211078736;0.455479798;-0.03841845;-0.391169386;38;8.651111111;76.31578947;26.31578947;0;-0.013257268;-0.013257268;0;102.6315789;0.001396535;0.001396535;0;0;102.6315789;0;3;23;-3.551793758;1.561064146;-0.204463295;-0.734707127;3
938;25;16.06650832;42.44483916;0.499458819;1.45215812;-0.262612128;-1.2120338;115;517.6986014;29.56521739;71.30434783;0.012041247;-0.113445103;-0.152057155;41.73913043;59.13043478;0.013224604;0.0138364;-0.136208689;-0.194412007;53.04347826;47.82608696;3;23;0.523009236;-0.873604258;-0.351301262;0.855838771;3
939;25;21.40229569;48.51071329;0.348713257;1.152303807;-0.249465484;-1.146722999;253;1510.050862;12.64822134;87.74703557;0.013593144;-0.037735582;-0.071567962;50.19762846;50.19762846;0.012040231;0.0138364;-0.03078518;-0.070770543;42.68774704;57.70750988;3;23;1.161480539;-0.392549197;-0.67283288;-0.870162597;2
940;25;1.785375452;7.503104895;0.276751894;0.49981352;-0.105331705;-0.746272339;28;14.38219114;67.85714286;35.71428571;0.013593144;0;0;103.5714286;0;0.01163201;0.01163201;0;0;103.5714286;0;3;23;-2.831185055;1.594230488;0.040948723;-0.398060035;3
941;25;28.01176747;56.03076923;0.417945181;1.393828671;-0.413101169;-1.43972805;325;2536.621166;1.538461538;98.76923077;0.035272309;-0.010718419;-0.019368908;65.84615385;34.46153846;0.02079105;0.039540256;-0.014915267;-0.020829155;72;28.30769231;3;23;2.753265155;0.514106788;-0.54306293;-0.819170101;2
